method,budget,n,accuracy,avg_tokens,token_efficiency,premature_stop_rate,overthink_rate
adaptive,256,54,0.4259,230.5,0.9005,0.0741,0.5
adaptive,512,54,0.7963,286.2,0.559,0.1481,0.0556
adaptive,1024,53,0.7925,305.2,0.2981,0.1887,0.0189
bitcal_tts,256,54,0.4444,243.0,0.9491,0.037,0.5185
bitcal_tts,512,54,0.8333,316.1,0.6175,0.1111,0.0556
bitcal_tts,1024,53,0.8302,336.3,0.3284,0.1509,0.0189
fixed,256,54,0.4444,254.6,0.9944,0.0,0.5556
fixed,512,54,0.9074,465.6,0.9094,0.0,0.0741
fixed,1024,53,0.9057,813.4,0.7943,0.0,0.0566
